List,0
List Heuristic,1
Tree,2
Tree p.c,3
Nodes.n,DisjointType,Union time
2,0,1.1500000000053134e-05
2,1,7.200000000207041e-06
2,2,5.9100000000089636e-05
2,3,5.8000000000557606e-06
3,0,1.5799999999899228e-05
3,1,1.790000000023717e-05
3,2,6.379999999994723e-05
3,3,9.400000000159281e-06
4,0,2.6999999999999247e-05
4,1,2.61000000001399e-05
4,2,7.280000000009501e-05
4,3,1.8400000000085015e-05
5,0,3.7300000000017874e-05
5,1,3.640000000015853e-05
5,2,8.410000000003137e-05
5,3,2.9800000000301807e-05
6,0,4.2600000000003746e-05
6,1,4.3699999999979866e-05
6,2,9.220000000009776e-05
6,3,3.6800000000392075e-05
7,0,5.359999999998699e-05
7,1,5.7299999999926854e-05
7,2,0.00010720000000019603
7,3,5.2400000000396574e-05
8,0,6.689999999998086e-05
8,1,7.429999999986059e-05
8,2,0.00012540000000016427
8,3,7.150000000022416e-05
9,0,8.270000000010214e-05
9,1,9.409999999987484e-05
9,2,0.0001497000000001414
9,3,0.0001285000000001979
10,0,9.500000000017828e-05
10,1,0.00010829999999972806
10,2,0.0001769000000002574
10,3,0.000144000000000144
11,0,0.00012000000000034206
11,1,0.00013389999999957602
11,2,0.00020950000000019564
11,3,0.0001833000000002194
12,0,0.0001348000000005456
12,1,0.00014489999999955927
12,2,0.00023390000000023115
12,3,0.00019560000000029554
13,0,0.00015650000000055897
13,1,0.0001707999999995824
13,2,0.00026750000000030916
13,3,0.0002289000000001984
14,0,0.00017880000000070062
14,1,0.0001992999999997913
14,2,0.0003269000000003519
14,3,0.000277600000000211
15,0,0.00019850000000065648
15,1,0.0002221999999998392
15,2,0.0003513000000003874
15,3,0.000304800000000105
16,0,0.0002304000000006301
16,1,0.0002610999999999031
16,2,0.0004126000000004293
16,3,0.00035620000000013974
17,0,0.0002458000000005178
17,1,0.00028119999999987044
17,2,0.00043660000000023125
17,3,0.0003791000000001876
18,0,0.0003267000000004572
18,1,0.00032779999999976717
18,2,0.0005150000000002652
18,3,0.00045090000000014285
19,0,0.0003622000000005343
19,1,0.00037009999999959575
19,2,0.0005851000000001161
19,3,0.0005113000000001033
20,0,0.0003840000000006061
20,1,0.00039969999999955874
20,2,0.000614400000000126
20,3,0.0005421000000001008
21,0,0.0004396000000006506
21,1,0.00048719999999957686
21,2,0.0007537000000001903
21,3,0.0006405000000000438
22,0,0.0004969000000005774
22,1,0.0005535999999997099
22,2,0.0008744000000000529
22,3,0.0007333000000000478
23,0,0.0005651000000006512
23,1,0.0006275999999996174
23,2,0.0010316999999999688
23,3,0.000843499999999997
24,0,0.000623200000000601
24,1,0.0007233999999995966
24,2,0.0011641000000000012
24,3,0.0009382000000000001
25,0,0.0006942000000007553
25,1,0.000803799999999466
25,2,0.0013081999999999816
25,3,0.0010551000000000865
26,0,0.0007559000000008087
26,1,0.0008771999999994673
26,2,0.0014492999999999867
26,3,0.0011904000000000359
27,0,0.0008364000000007366
27,1,0.0009679999999994138
27,2,0.001641400000000015
27,3,0.0013265000000002303
28,0,0.0008548000000005995
28,1,0.0009931999999992502
28,2,0.0016681999999998975
28,3,0.0015700000000002934
29,0,0.0009541000000006239
29,1,0.001086199999999149
29,2,0.0018441999999998515
29,3,0.0017063000000001605
30,0,0.0010473000000006394
30,1,0.0011874999999990088
30,2,0.002106999999999637
30,3,0.0018690000000001206
31,0,0.025202300000000566
31,1,0.0012934999999989483
31,2,0.002333699999999661
31,3,0.002009099999999986
32,0,0.025259600000000493
32,1,0.0013554999999989548
32,2,0.002440399999999787
32,3,0.0020921999999998775
33,0,0.025357700000000483
33,1,0.0014381999999988349
33,2,0.0025959999999995986
33,3,0.0022223999999999577
34,0,0.025415100000000468
34,1,0.0015236999999987955
34,2,0.0027351999999996046
34,3,0.0023131999999999042
35,0,0.02549580000000029
35,1,0.0015837999999988028
35,2,0.002816599999999614
35,3,0.002389899999999834
36,0,0.02561440000000026
36,1,0.0017119999999988256
36,2,0.0031823999999995856
36,3,0.0026079999999997217
37,0,0.02576960000000006
37,1,0.0018356999999988854
37,2,0.0035197999999996288
37,3,0.002784899999999757
38,0,0.02587600000000001
38,1,0.001954799999998702
38,2,0.003815899999999761
38,3,0.0030143999999998616
39,0,0.0260123000000001
39,1,0.002068699999998591
39,2,0.004088399999999659
39,3,0.0031687999999998606
40,0,0.02613090000000029
40,1,0.0021948999999985563
40,2,0.004360099999999534
40,3,0.00335160000000001
41,0,0.026299500000000142
41,1,0.0023797999999983777
41,2,0.004964599999999653
41,3,0.0037837000000000565
42,0,0.02642460000000013
42,1,0.002460199999998247
42,2,0.005070099999999744
42,3,0.0038810000000000233
43,0,0.026520800000000122
43,1,0.0025808999999981097
43,2,0.005272999999999639
43,3,0.00405180000000005
44,0,0.026688100000000103
44,1,0.002760199999997992
44,2,0.005805899999999697
44,3,0.004337400000000047
45,0,0.02688390000000007
45,1,0.002955099999998101
45,2,0.006381799999999549
45,3,0.00462740000000017
46,0,0.02703830000000007
46,1,0.00308069999999816
46,2,0.0066392999999995705
46,3,0.004803500000000183
47,0,0.027210500000000026
47,1,0.0033141999999981575
47,2,0.007191099999999562
47,3,0.005107500000000265
48,0,0.02745400000000009
48,1,0.003520499999998261
48,2,0.007788299999999415
48,3,0.0054384000000002874
49,0,0.027610900000000216
49,1,0.0037007999999982832
49,2,0.008153899999999492
49,3,0.005654900000000351
50,0,0.027799700000000094
